PM2.5,AQI
86.52,1646.0
90.1,1329.0
68.52,530.0
86.43,798.0
70.51,689.0
78.48,413.0
63.75,415.0
68.3,228.0
91.23,392.0
92.74,657.0
96.58,657.0
91.37,702.0
88.02,488.0
96.82,605.0
96.89,687.0
109.2,714.0
94.95,667.0
75.42,423.0
73.07,417.0
98.25,1158.0
118.16,938.0
95.4,920.0
70.04,336.0
56.71,275.0
59.4,191.0
54.75,172.0
62.18,198.0
238.42,381.0
125.16,800.0
106.45,967.0
92.45,978.0
111.75,1558.0
106.19,1300.0
72.1,355.0
79.15,370.0
94.8,448.0
80.14,1084.0
89.14,1319.0
68.29,379.0
67.75,396.0
80.54,744.0
110.71,1474.0
147.57,1246.0
131.5,1719.0
102.12,1264.0
115.0,1127.0
84.84,908.0
74.62,236.0
89.72,313.0
84.03,471.0
82.79,661.0
76.38,711.0
66.01,854.0
116.42,1258.0
75.49,407.0
66.97,172.0
161.09,116.0
124.45,1302.0
95.15,1275.0
73.58,527.0
86.32,839.0
149.26,1537.0
70.06,547.0
86.59,716.0
74.12,464.0
52.92,302.0
47.26,260.0
52.79,430.0
63.68,477.0
73.37,491.0
55.24,470.0
83.1,847.0
76.87,559.0
47.01,334.0
54.77,346.0
103.13,529.0
117.59,1261.0
50.15,254.0
94.1,308.0
105.03,290.0
46.5,340.0
41.76,492.0
46.91,343.0
59.98,604.0
82.79,1028.0
62.6,755.0
72.53,489.0
44.69,373.0
54.18,914.0
81.84,895.0
46.48,502.0
62.32,834.0
37.26,826.0
37.96,403.0
34.1,253.0
64.5,789.0
50.97,904.0
64.44,467.0
51.5,296.0
33.38,307.0
42.11,350.0
46.35,318.0
61.32,338.0
48.84,276.0
39.23,286.0
45.37,461.0
55.7,824.0
54.11,754.0
52.68,926.0
44.12,280.0
46.52,310.0
57.06,606.0
84.14,632.0
52.24,262.0
62.44,428.0
66.97,625.0
75.05,321.0
60.5,353.0
88.33,1017.0
78.11,876.0
62.04,380.0
73.98,730.0
75.84,998.0
92.21,917.0
64.71,402.0
67.44,404.0
69.51,559.0
112.44,1459.0
133.21,1222.0
89.74,869.0
74.35,471.0
96.96,353.0
122.78,679.0
109.21,688.0
94.41,1044.0
97.92,537.0
97.68,420.0
99.9,534.0
78.55,472.0
73.58,493.0
64.02,566.0
81.22,1121.0
75.74,944.0
70.14,395.0
67.2,406.0
225.49,649.0
182.46,428.0
95.69,392.0
93.12,274.0
64.3,354.0
81.71,419.0
66.39,1205.0
92.59,778.0
84.47,730.0
76.98,608.0
91.99,1346.0
110.7,1015.0
132.76,255.0
113.47,518.0
101.68,604.0
86.07,315.0
72.58,326.0
81.79,449.0
72.54,455.0
58.71,398.0
72.51,346.0
43.83,291.0
37.55,281.0
33.97,330.0
35.48,356.0
34.11,359.0
33.69,547.0
42.31,813.0
24.6,321.0
27.93,270.0
41.39,323.0
46.79,344.0
51.63,404.0
63.15,558.0
57.47,435.0
50.27,440.0
42.02,374.0
48.74,515.0
46.51,360.0
48.1,467.0
41.38,402.0
46.46,419.0
39.68,408.0
38.27,402.0
35.06,303.0
30.07,354.0
48.74,358.0
35.3,324.0
34.31,360.0
33.97,348.0
41.08,333.0
25.56,321.0
26.75,338.0
32.71,369.0
32.79,397.0
28.02,414.0
26.92,363.0
69.38,371.0
42.08,565.0
35.67,348.0
63.09,184.0
46.13,328.0
57.49,440.0
49.23,411.0
70.03,469.0
60.03,436.0
49.43,517.0
59.63,640.0
53.13,465.0
43.22,486.0
44.75,446.0
44.27,426.0
47.77,534.0
47.88,610.0
47.71,491.0
34.72,451.0
37.99,509.0
41.69,491.0
45.31,524.0
43.48,575.0
41.97,490.0
38.49,503.0
41.7,469.0
42.43,455.0
38.99,488.0
34.92,513.0
32.7,466.0
44.65,429.0
51.63,459.0
48.67,385.0
37.73,309.0
73.98,587.0
52.55,482.0
48.26,502.0
46.8,469.0
39.43,413.0
47.55,478.0
43.84,515.0
41.45,461.0
47.31,957.0
56.72,685.0
45.43,492.0
37.7,464.0
43.43,477.0
50.53,564.0
60.09,545.0
57.61,530.0
44.1,448.0
22.26,440.0
37.97,452.0
46.3,573.0
41.77,467.0
47.52,492.0
50.55,471.0
27.6,505.0
41.4,473.0
44.46,539.0
39.88,627.0
46.58,466.0
36.44,465.0
45.37,462.0
47.67,523.0
41.31,385.0
30.82,360.0
45.77,532.0
58.51,651.0
36.1,434.0
38.5,517.0
40.53,563.0
37.05,464.0
31.28,420.0
25.64,419.0
40.18,447.0
39.16,401.0
45.55,446.0
55.43,432.0
35.05,454.0
33.15,408.0
38.7,381.0
45.2,468.0
59.96,629.0
66.21,793.0
38.0,495.0
44.41,528.0
50.66,570.0
73.61,708.0
27.17,314.0
39.27,386.0
45.4,356.0
59.74,398.0
58.49,476.0
61.46,572.0
39.34,427.0
28.2,466.0
30.18,438.0
20.71,432.0
21.94,322.0
33.66,266.0
51.11,430.0
57.08,528.0
49.88,512.0
57.65,614.0
68.62,954.0
99.81,1217.0
73.52,659.0
108.07,1389.0
117.13,1195.0
70.26,615.0
109.48,904.0
194.36,1595.0
96.74,919.0
90.7,1190.0
100.06,956.0
109.01,1124.0
87.87,318.0
89.05,228.0
81.62,225.0
84.9,258.0
46.84,249.0
53.59,270.0
82.74,334.0
62.7,273.0
57.54,199.0
75.12,212.0
37.74,200.0
20.1,305.0
54.57,502.0
63.17,362.0
42.27,275.0
33.68,351.0
69.31,636.0
84.29,346.0
112.08,561.0
56.86,358.0
64.96,316.0
48.99,358.0
68.07,282.0
84.08,289.0
100.47,733.0
88.0,638.0
49.19,415.0
43.56,411.0
70.05,433.0
58.66,632.0
62.15,883.0
52.04,884.0
46.54,552.0
55.43,662.0
55.5,356.0
58.97,477.0
60.38,443.0
73.87,378.0
64.06,441.0
53.91,411.0
38.15,236.0
48.47,212.0
46.95,199.0
43.06,248.0
46.74,192.0
41.61,134.0
77.66,140.0
65.48,197.0
64.87,344.0
93.24,276.0
92.26,293.0
78.95,329.0
86.88,458.0
72.3,538.0
62.39,520.0
52.59,242.0
63.33,157.0
48.58,177.0
45.47,145.0
54.42,237.0
72.45,231.0
89.97,391.0
104.25,712.0
64.25,206.0
60.17,170.0
57.99,113.0
49.63,113.0
53.0,166.0
52.77,216.0
39.89,381.0
43.95,288.0
53.52,398.0
69.1,703.0
74.18,385.0
79.57,216.0
72.59,162.0
69.54,220.0
66.2,254.0
55.99,255.0
46.96,175.0
70.06,285.0
61.4,157.0
38.89,129.0
56.14,129.0
59.96,114.0
83.9,212.0
89.34,368.0
39.83,189.0
53.27,142.0
40.07,152.0
80.24,334.0
59.51,547.0
36.05,375.0
36.21,384.0
51.15,529.0
51.32,449.0
38.71,483.0
18.03,289.0
28.77,204.0
41.74,528.0
57.28,660.0
88.79,483.0
52.31,336.0
68.19,272.0
80.59,571.0
77.56,568.0
56.5,387.0
66.87,322.0
95.25,652.0
69.85,215.0
64.94,223.0
79.58,340.0
83.67,475.0
88.83,974.0
50.55,412.0
73.04,480.0
59.47,388.0
62.48,543.0
85.33,1226.0
114.79,1291.0
65.74,493.0
60.61,407.0
36.35,168.0
54.06,219.0
68.68,282.0
73.18,528.0
137.81,983.0
94.27,1262.0
79.68,962.0
53.86,421.0
53.06,475.0
56.2,508.0
77.58,460.0
49.16,246.0
43.75,261.0
54.05,308.0
51.32,359.0
35.04,325.0
37.02,170.0
37.67,116.0
31.12,152.0
41.19,218.0
41.72,302.0
39.57,170.0
39.42,215.0
36.03,222.0
53.07,310.0
58.54,487.0
101.09,988.0
74.43,296.0
48.16,180.0
44.61,247.0
31.89,135.0
33.25,195.0
43.67,216.0
22.93,193.0
37.73,160.0
20.67,125.0
28.55,140.0
29.97,145.0
24.79,153.0
25.52,164.0
33.48,173.0
39.44,182.0
43.77,152.0
46.64,145.0
45.8,159.0
36.3,183.0
32.12,168.0
30.73,113.0
30.18,89.0
26.7,101.0
18.77,95.0
31.16,89.0
23.69,88.0
38.65,95.0
30.8,92.0
30.69,96.0
21.27,99.0
29.84,86.0
27.81,87.0
32.11,101.0
31.67,106.0
