"Q90201","q_affirmative","q_applicable"
"Diploma/associate degree","97","97"
"Preparatory","94","99"
"Secondary","112","112"
"Illiterate (cannot read and write)","92","101"
"Preparatory","96","100"
"Preparatory","91","97"
"Secondary","97","97"
"Preparatory","95","98"
"Diploma/associate degree","97","97"
"Preparatory","94","97"
"Secondary","104","104"
"Preparatory","93","94"
"Secondary","104","107"
"Secondary","94","95"
"Secondary","81","96"
"Bachelor","95","96"
"Bachelor","121","122"
"Preparatory","98","100"
"Secondary","96","97"
"Secondary","125","126"
"Diploma/associate degree","84","94"
"Secondary","100","101"
"Elementary","96","98"
"Secondary","90","97"
"Elementary","93","96"
"Preparatory","97","97"
"Secondary","95","97"
"Elementary","94","95"
"Preparatory","97","97"
"Preparatory","119","119"
"Diploma/associate degree","98","98"
"Secondary","100","100"
"Diploma/associate degree","110","113"
"Bachelor","92","95"
"Secondary","100","102"
"Secondary","89","92"
"Preparatory","85","89"
"Preparatory","95","97"
"Secondary","116","116"
"Diploma/associate degree","93","99"
"Secondary","106","108"
"Preparatory","103","107"
"Secondary","106","107"
"Secondary","105","108"
"Secondary","97","98"
"Bachelor","117","118"
"Preparatory","124","126"
"Secondary","108","108"
"Preparatory","97","97"
"Preparatory","104","105"
"Secondary","88","91"
"Secondary","99","105"
"Bachelor","98","98"
"Secondary","130","130"
"Preparatory","94","96"
"Preparatory","110","110"
"Preparatory","119","119"
"Preparatory","116","117"
"Preparatory","91","92"
"Secondary","114","114"
"Preparatory","91","91"
"Secondary","98","99"
"Secondary","98","109"
"Diploma/associate degree","99","100"
"Preparatory","91","95"
"Secondary","117","117"
"Preparatory","92","94"
"Bachelor","100","101"
"Secondary","117","118"
"Diploma/associate degree","99","100"
"Diploma/associate degree","87","101"
"Diploma/associate degree","99","99"
"Illiterate (cannot read and write)","98","101"
"Bachelor","105","109"
"Diploma/associate degree","96","97"
"Preparatory","105","106"
"Preparatory","96","97"
"Secondary","103","104"
"Elementary","120","120"
"Diploma/associate degree","111","111"
"Diploma/associate degree","118","120"
"Preparatory","111","111"
"Diploma/associate degree","97","97"
"Preparatory","96","97"
"Secondary","102","103"
"Secondary","101","101"
"Preparatory","97","97"
"Secondary","93","96"
"Secondary","103","107"
"Preparatory","89","100"
"Preparatory","96","98"
"Bachelor","113","113"
"Diploma/associate degree","108","111"
"Diploma/associate degree","99","100"
"Preparatory","109","115"
"Elementary","99","101"
"Diploma/associate degree","97","97"
"Preparatory","118","118"
"Secondary","115","117"
"Diploma/associate degree","99","101"
"Secondary","93","94"
"Preparatory","109","110"
"Secondary","101","104"
"Diploma/associate degree","103","103"
"Preparatory","95","99"
"Secondary","98","99"
"Elementary","91","101"
"Higher education","108","110"
"Bachelor","107","108"
"Bachelor","92","93"
