"AQI_Bucket","PM2.5","AQI"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","64.55",""
"Moderate","61.72","105"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","76.32",""
"","",""
"","109.16",""
"Very Poor","126.57","319"
"Moderate","59.26","146"
"Satisfactory","51.72","80"
"Moderate","67.4","102"
"Severe","79.49","459"
"Severe","112.25","1426"
"Severe","133.07","1348"
"Severe","93.96","1073"
"Severe","93.7","952"
"","",""
"","77.12",""
"","",""
"","",""
"Severe","96.65","550"
"Severe","107.09","538"
"Severe","119.02","498"
"Severe","83.86","517"
"Severe","72.67","901"
"Severe","94.32","929"
"Severe","89","850"
"Severe","85.35","669"
"Severe","101.25","1141"
"Severe","90.02","707"
"Severe","119.17","1577"
"Severe","207.19","1747"
"Severe","148.83","1065"
"Moderate","85.32","195"
"Poor","143.07","291"
"Very Poor","140.88","313"
"Very Poor","99.77","333"
"Very Poor","119.99","338"
"Very Poor","111.92","371"
"Severe","96.51","463"
"Severe","80.52","419"
"Severe","92.8","700"
"Severe","102.26","1043"
"Severe","108.19","1029"
"Severe","93.87","1041"
"Severe","109.53","1430"
"Severe","79.34","765"
"Severe","93.05","599"
"Severe","85.51","764"
"Very Poor","80.89","330"
"Poor","58.62","205"
"Moderate","68.53","164"
"Moderate","81.38","187"
"Moderate","56.54","149"
"Poor","74.08","215"
"Poor","62.76","284"
"Moderate","86.09","167"
"Very Poor","59.74","337"
"Severe","87.13","696"
"Poor","52.15","295"
"Severe","67.51","565"
"Very Poor","70.08","400"
"Poor","86.9","250"
"Poor","77.34","232"
"Moderate","65.93","174"
"Moderate","66.58","198"
"Very Poor","62.24","340"
"Very Poor","62.07","355"
"Poor","72.04","246"
"Poor","67.44","216"
"Very Poor","77.76","306"
"Severe","96.71","650"
"Severe","75.14","515"
"Severe","69.27","529"
"Severe","71.54","404"
"Severe","104.13","773"
"Severe","88.93","763"
"Severe","82.03","474"
"Very Poor","84.43","343"
"Poor","84.46","278"
"Poor","76.51","256"
"Poor","63.88","300"
"Severe","81.1","532"
"Severe","73.61","534"
"Severe","75.79","738"
"Severe","77.87","622"
"Severe","77.72","517"
"Poor","66.89","216"
"Very Poor","74.57","316"
"Severe","89.1","586"
"Severe","110.34","898"
"Severe","82.53","421"
"Severe","108.01","542"
