"Operator","Aboard","Fatalities"
"Military - U.S. Air Force","15","15"
"Flying Tiger Line","7","1"
"Flying Tiger Line","107","107"
"Military - French Air Force","11","11"
"Cubana de Aviacion","22","22"
"Military - Colombian Air Force","31","31"
"AVISPA","40","40"
"Iberia Airlines","18","18"
"East Anglian Flying Services","18","12"
"Military - Union of Burma Air Force","32","32"
"Cruzeiro","25","23"
"East Provincial Airways","21","15"
"United Arab Airlines","3","3"
"Military - U.S. Air Force","13","13"
"Military - U.S. Navy","26","26"
"Continental Airlines","45","45"
"Air France","132","130"
"Aeroflot","5","5"
"Air France","112","112"
"Aeroflot","81","81"
"Aeroflot","84","84"
"Aeroflot","14","14"
"Alitalia","94","94"
"Trans Mediterranean Airways","6","6"
"Indian Airlines","3","1"
"Kalinga Airlines","9","9"
"United Arab Airlines","26","26"
"Canadian PacifiAir Lines","40","27"
"Aeroflot","81","81"
"Air France","8","4"
"Royal Nepal Airlines","10","10"
"Panair do Brazil","105","15"
"Taxader Airlines","32","20"
"Faucett","9","9"
"Aeroflot","86","86"
"Military - Japan Maritime Self Defense Force","12","12"
"Private - Ashland Oil Company","13","13"
"Ceskoslovenske Aerolinie","34","11"
"Military - U.S. Air Force","44","44"
"Aerolineas Abaroa","4","4"
"Kalinga Airlines","8","8"
"Flying Tiger Line","76","28"
"Trans Canada Air Lines","19","2"
"Philippine Air Lines","3","3"
"Avionas  Banamex","8","8"
"Allegheny Airlines","52","1"
"Aeroflot","10","10"
"Air Vietnam (South Vietnam)","27","27"
"All Nippon Airways","4","4"
"United Air Lines","18","18"
"Military - Portuguese Air Force","37","23"
"Malev Hungarian Airlines","21","21"
"VASP / Private","26","26"
"Varig","97","97"
"Eastern Air Lines","51","25"
"Taxader Airlines","26","24"
"Panair do Brasil","50","50"
"Flying Tiger Line","5","5"
"LOT Polish Airlines","33","33"
"Military - U.S. Air Force","12","12"
"Varig","40","1"
"Carvair ATL-98","18","1"
"Air Nautic","25","25"
"Commercial Air Taxi","2","2"
"Wien Alaska Airlines","6","5"
"Cruzeiro","45","13"
"West Coast Airlines","3","3"
"Skyvan Airways","2","1"
"Continental Airlines","8","8"
"Military - U.S. Navy","14","14"
"Middle East Airlines / Military - Turkish Air ForceC-47","17","17"
"Slick Airways","8","3"
"Aeroflot","7","7"
"Northwest Orient Airlines","43","43"
"Eastern Air Lines","26","0"
"Philippine Air Lines","27","27"
"Private","4","4"
"Middle East Airlines","4","4"
"Lloyd Aereo Boliviano","41","41"
"Saudi Arabian Royal Flight","18","18"
"Military - Japan Air Self Defense Force","10","10"
"Linjefyg","43","31"
"Itavia","11","11"
"Icelandair","12","12"
"Air Afrique","55","55"
"Cruzeiro","50","37"
"United Arab Airlines","34","34"
"Northwest Orient Airlines","101","101"
"Indian Airlines","29","29"
"Union of Burma Airways","20","20"
"Tarom","31","31"
"Military - Chilean Air Force","20","19"
"Military - Royal Belgian Air Force","47","38"
"Military - Belgian Air Force","47","38"
"Varig","18","15"
"Mohawk Airlines","43","7"
"New Zealand National Airways","23","23"
"Aeroflot","35","35"
"Air Madagascar","12","6"
"Air America","6","6"
"United Arab Airlines","63","63"
"Military - South African Air Force","13","13"
"Air Inter","20","20"
"American Air  Export & Import Co.","2","1"
"Fujita Koku Kabushki Kai","19","19"
"Aeroflot","52","0"
"Military - U.S. Air Force / Military -  U.S. Air Force","16","16"
"Swissair","80","80"
"Air Nautic","40","40"
"Indian Airlines","18","18"
"Military - U.S. Air Force","10","10"
"Aeronaves de Panama","6","6"
"New York Airways","6","6"
"Military - Soviet Air Force","31","31"
"Aeroflot","5","5"
"British Aircraft Corporation","7","7"
"Finnair","24","22"
"Trans Canada Air Lines","118","118"
"Zantop Air Transport","3","3"
"Pan American World Airways","81","81"
"Trans Mediterranean Airways","3","3"
"Misrair","6","6"
"Western Airlines","46","0"
"Aerolineas Litoral Argentina","30","28"
"Commercial Air Taxi","2","2"
"Turkish Airlines (THY)","3","3"
"South Central Airlines","10","10"
"Lloyd Aéreo Boliviano","29","2"
"Private air taxi","4","4"
"Commercial Air Taxi","4","4"
"Military - Indian Air Force","13","13"
"Philippine Air Lines","32","31"
"Military - Indian Air Force","22","22"
"Commercial Air Taxi","2","2"
"Eastern Air Lines","58","58"
"Fuji Airlines","42","20"
"British Eagle International Airlines","83","83"
"Paradise Airlines","85","85"
"Taxi Aereo de Santander","28","28"
"Snow Valley Ski Lines","30","1"
"Slick Airways - Cargo","3","3"
"Frontier Airlines","5","5"
"Commercial Air Taxi","3","3"
"Alitalia","45","45"
"Private - Facilities Management Co.","9","9"
"Aden Airways","15","15"
"Middle East Airlines","49","49"
"Wein Alaska Airlines Inc.","2","2"
"PacifiAir Lines","44","44"
"Military - Argentine Air Force","10","10"
"Fuerza Aérea Argentina","49","46"
"Military - U.S. Air Force","84","79"
"Philippine Air Lines","11","11"
"VASP","3","3"
"Commercial Air Taxi","3","3"
"Saudi Arabian Airlines","2","2"
"Private - Air Taxi","5","2"
"Civil Air Transport","57","57"
"TASSA","28","1"
"Commercial Air Taxi","5","5"
"United Air Lines","53","1"
"Trans World Airlines","73","50"
"United Air Lines","39","39"
"Commercial Air Taxi","3","3"
"Eastern Air Lines","76","0"
"Private","2","2"
"Commercial Air Taxi","3","3"
"Wiggins Airways","2","2"
"Servicios Aéreos Cochabamba","4","4"
"Aeroflot","87","87"
"VASP","39","39"
"Military - Royal Thai Air Force","34","28"
"AVIANCA","2","2"
"Union des Transportes Aeriens","80","80"
"Interocean","7","1"
"Tarom","32","32"
"Commercial Air Taxi","2","2"
"Military - Soviet Air Force","33","33"
"Mustang Aviati","5","5"
"Bonanza Airlines","29","29"
"Military - U.S. Navy","10","10"
"Air America","3","3"
"Air Congo","14","6"
"Commercial Air Taxi","5","4"
"Aerolineas Abaroa","17","17"
"Military - Vietnamese Air Force","38","38"
"Fleming Airways System Transport","39","1"
"SATCO","23","1"
"Flying Tiger Line","3","3"
"Lineas Aéreas Sud Americana","5","5"
"Zantop Air Transport","4","4"
"Alva Aircraft Service - Taxi","3","3"
"Fairbanks Air Service - Taxi","2","2"
"Military - U.S. Air Force","17","17"
"Aerovias del Norte","10","10"
"Military - U.S. Air Force","10","10"
"Air Cameroon","4","4"
"LAN","87","87"
"Eastern Air Lines","84","84"
"Aerolineas El Salvador","2","2"
"Zen Nippon","2","2"
"Air Taxi","2","2"
"Military - U.S. Air Force","7","7"
"Fairways","12","10"
"Aeroflot","25","25"
"Eastern Provincial Airways","8","8"
"AVIANCA","28","28"
"Military - Royal Canadian Air Force","16","16"
"Pakistan International Airlines","26","22"
"Iberia Airlines","53","50"
"Ortner Air Service - Taxi","2","2"
"Alia Royal Jordanian Airlines","54","54"
"British United Airways","27","26"
"Baker Aero Inc. - Taxi","2","2"
"Aaxico Airlines","5","5"
"Iberia Airlines","49","30"
"Pakistan International Airlines","125","119"
"Military - U.S. Army / Military - U.S. Army","18","18"
"Military - U.S. Air Force","85","85"
"Pan American World Airways","153","0"
"Continental Airlines","66","0"
"Pakistan International Airlines","4","4"
"Military -Royal Air Force","41","41"
"Military - Soviet Air Force","31","30"
"Canadian PacifiAir Lines","52","52"
"Military - U.S. Air Force","19","16"
"Virgin Islands Airways","12","8"
"Military - Japan Maritime Self Defense Force","11","11"
"Military - Philippine Air Force","37","37"
"Rutas Internacionales Peruanes","7","7"
"Paraense Transportes Aéreos","13","13"
"United Air Lines","30","30"
"LOT Polish Airlines","4","4"
"Military - U.S. Marine Corps","72","59"
"Cordova Airlines","5","4"
"Filipinas Orient Airways","11","11"
"Ethiopian Airlines","17","17"
"TAO","11","9"
"Air Vietnam (South Vietnam)","39","38"
"Pan American World Airways","30","30"
"Military - Chilian Air Force","10","10"
"AVIANCA","19","19"
"Kalinga Airlines","8","8"
"International Control Commision","13","13"
"Philippine Air Lines","37","1"
"British European Airways","36","36"
"Military - French Air Force","30","30"
"Military - Argentine Air Force","68","68"
"Aerolineas TAO","30","30"
"American Airlines","62","58"
"Aeroflot","32","32"
"United Air Lines","91","43"
"Skyway Air  - Taxi","2","2"
"Paul Kelly Flying Service Inc.","8","8"
"Edde Airlines","13","13"
"Trans World Airlines / Eastern Air Lines","112","4"
"Aeropesca Colombia","8","8"
"Spantax","32","32"
"Military - U.S. Air Force","85","85"
"Air Taxi","2","2"
"Air Manila","21","2"
"Ray A. Gardner - Taxi","3","3"
"Garuda  Indonesia Airlines / Garuda Indonesia Airlines","34","34"
"AVIANCA","64","56"
"COHATA","35","30"
"Air India","117","117"
"Military - U.S. Air Force","46","46"
"Devener Flying Service - Taxi","3","3"
"Lufthansa","46","46"
"All Nippon Airways","133","133"
"Indian Airlines","37","37"
"Beatty Flying Service - Taxi","2","2"
"Indian Airlines","80","2"
"Belgian International Air Services","4","4"
"Canadian PacifiAir Lines","72","64"
"Alamo Airways","3","3"
"British Overseas Airways","124","124"
"Bassett Complany - Taxi","6","6"
"","7","6"
"Trans Mediterranean Airways","5","5"
"United Arab Airlines","30","30"
"Servicios Americanos","2","2"
"Layman Weikle - Taxi","2","2"
"Military - U.S. Navy","11","11"
"Continental Air Services","2","2"
"American Flyers Airline","98","83"
"LANSA","49","49"
"Military - U.S. Army","20","20"
"Kurtzer Flying Service - Taxi","2","2"
"Military - U.S. Air Force","11","11"
"Zantop Air Transport","3","3"
"Nordair","2","2"
"McCoy Flying Service - Taxi","12","2"
"Lackey Aero Company - Taxi","4","4"
"Philippine Air Lines","26","24"
"Air New Zealand","5","2"
"Private - Mainline Aviation","4","4"
"Lloyd Aéreo Boliviano","3","3"
"Braniff Airlines","42","42"
"Tarom","24","24"
"Aeronaves de Mexico","6","6"
"NC Simpson - Taxi","4","4"
"Richland Aviation  - Taxi","6","6"
"Military - U.S. Marine Corps","1","0"
"Aerovias Halcon","16","1"
"Alaska Coastal Airlines","9","9"
"Britannia Airways","117","98"
"Indian Airlines","4","4"
"Iberia Airlines","27","1"
"Ansett ANA","24","24"
"Avianca","2","2"
"West Coast Airlines","18","18"
"Military - U.S. Army","32","14"
"Petroleum Helicopter","11","11"
"Aeroflot","38","38"
"Warsaw Aviation - Taxi","6","6"
"Gastonia Aviation - Taxi","2","2"
"Chester Airport","3","3"
"Military - U.S. Air Force","19","19"
"All Nippon Airways","50","50"
"Pan American Airways","3","3"
"Piedmont Airlines","3","3"
"Aden Airways","30","30"
"Transportno Aviatsionno Bulgaro-Soviet Obshchestvo","82","82"
"Military - U.S. Air Force","25","25"
"Cruzeiro do Sul","11","9"
"Aeroflot","21","21"
"Aerocondor de Colombia","59","17"
"Flying Tiger Line","4","4"
"AVIANCA","29","29"
"Red Bank Air Taxi","9","9"
"Channel Air Lift","3","3"
"Military - Japan Maritime Self Defense Force","10","10"
"Air Taxi","3","3"
"Air Ferry","2","2"
"Syrian Arab Airlines","19","1"
"Sadia","25","21"
"Avanti Aviation -Air Taxi","2","2"
"Misrair","30","30"
"Cubana de Aviacion","10","10"
"Swissair","4","4"
"Vercoa Air Service - Air Taxi","2","2"
"Garuda Indonesia Airlines","63","22"
"Sahsa Airlines","55","4"
"Philippine Air Lines","20","12"
"Varig","90","51"
"Lake Central Airlines","38","38"
"Compagnie Air Transport","6","4"
"Trans World Airlines / Private","26","26"
"Military - U.S. Navy","25","25"
"West Coast Airlines","4","4"
"Aeralpi","5","4"
"South African Airways","25","25"
"Harvey's Flying Service - Air Taxi","2","2"
"Harold E. Bell - Air Taxi","2","2"
"Delta Air Lines","6","6"
"Ace Flying Service","2","2"
"Caribbean Airlines","5","5"
"Lexington Air Taxi","9","9"
"Military - Republiof South Korea Air Force","15","15"
"Air Algerie","39","35"
"Military - Imperial Iranian Air Force","23","23"
"Globe Air","130","126"
"Military - U.S. Air Force","15","14"
"AVIANCA","18","17"
"Pelita Air Service","21","19"
"Military - U.S. Navy","12","12"
"Greylock Airways / Private","14","3"
"Greenbriar Airways","4","4"
"Military - Chilean Air Force","16","16"
"Nordair","4","4"
"Air Canada","3","3"
"Air Ferry Ltd","88","88"
"British Midland Airways","84","72"
"Military - U.S. Air Force","10","10"
"Saudi Arabian Airlines","18","17"
"Aer Turas","2","2"
"Aeronaves de Mexico","4","3"
"Military - Brazilian Air Force","25","20"
"Military - U.S. Air Force","11","11"
"Military - U.S. Air Force","56","35"
"Aer Lingus","3","3"
"Military - U.S. Air Force","7","7"
"Mohawk Airlines","34","34"
"Military - U.S. Marine Corps/Military - U.S. Marine Corps","35","22"
"Saudi Arabian Airlines","17","16"
"Thai International","80","24"
"Philippine Air Lines","21","21"
"Air Madagascar","42","42"
"Piedmont Airlines / Private","82","82"
"Vehu Akat","16","16"
"Taiwan Aviation","18","18"
"Hudgin Air Service","7","7"
"Military - French Air Force","11","11"
"Military - U.S. Air Force","11","11"
"Ceskoslovenske Aerolinie","69","37"
"Lester C. Bush - Air Taxi","8","3"
"Military - U.S. Air Force","23","23"
"Inter Island Air - Air Taxi","3","2"
"British European Airways","66","66"
"Bruns Air Service - Air Taxi","4","4"
"China Airlines (Taiwan)","16","16"
"Crest Airlines - Air Taxi","2","2"
"Iberia Airlines","37","37"
"Cathay PacifiAirways","127","1"
"Trans World Airlines","36","1"
"Aeroflot","130","130"
"Trans World Airlines","82","70"
"Livingston Helicopter - Air Taxi","5","5"
"Priority Air - Air Taxi","3","3"
"Military - U.S. Air Force","26","26"
"Lao Cathay Airlines","12","10"
"Faucett","72","72"
"Private","8","7"
"Kauai Helicopter - Air Taxi","3","2"
"Tulakes Aviaiton - Air Taxi","6","2"
"Military - Royal Air Force","13","13"
"Frontier Airlines","2","2"
"Thai Airways","31","4"
"Aeroflot","51","44"
"Executive Air - Air Taxi","6","6"
"Imperial Comm - Air Taxi","4","3"
"Tanana Air Taxi","5","2"
"Military - U.S. Marine Corps","42","42"
"Military - U.S. Marine Corps","19","19"
"United Arab Airlines","4","4"
"Mililtary - U.S. Navy","12","12"
"Military - U.S. Air Force","13","13"
"Air Comores","16","15"
"Military - U.S. Navy","12","12"
"Canadian PacifiAir Lines","61","1"
"Military - Indian Air Force","98","98"
"Civil Air Transport","63","21"
"Havasu City Air - Air Taxi","3","3"
"Royal Air Lao","37","37"
"Aeroflot","82","82"
"Air France","63","63"
"Military - U.S. Air Force","49","49"
"Air Manila","14","14"
"Military - French Air Force","20","19"
"Viking Airways - Air Taxi","2","2"
"Fortaire Aviation - Air Taxi","5","3"
"Aer Lingus","61","61"
"Ozark Air Lines / Private","51","2"
"Military - Russian Air Force","2","2"
"Military - U.S. Navy","12","12"
"British Overseas Airways","127","5"
"Ladeco","36","36"
"Canair Corp. - Air Taxi","4","4"
"Aerovias Rojas","18","18"
"Military - Royal Air Force","11","11"
"Military - U.S. Army / Military - U.S. Army","26","26"
"South African Airways","128","123"
"Aeroflot","5","5"
"Utility Helocopter - Air Taxi","5","5"
"Military - Pakistan Air Force","22","22"
"Braniff Airlines","85","85"
"Military - Royal Air Force","11","11"
"Military - U.S. Air Force","155","155"
"Phillips Flying Service - Air Taxi","4","4"
"Los Angeles Airways","23","23"
"Garuda Indonesia Airlines","29","29"
"Houston-Beech - Air Taxi","4","3"
"Pan American World Airways","63","6"
"Rinaldo Piaggio","6","6"
"Military Soviet  Air Force - Aeroflot","120","120"
"Military - U.S. Army","29","29"
"Purdue Airlines Inc.","27","1"
"BKS Air Transport","8","6"
"Red Aircraft Service - Air Taxi","4","4"
"Saudi Arabian Airlines","11","11"
"Sabena","7","7"
"Varig","3","3"
"Aerolineas Flecha Austral","5","5"
"Military - U.S. Air Force","10","10"
"Mid Island Air - Air Taxi","3","3"
"Aitalia","95","13"
"North Central Airlines / Private","15","3"
"British Eagle International Airlines","48","48"
"Piedmont Airlines","37","35"
"Continental Air Transport","3","3"
"Los Angeles Airways","21","21"
"United Arab Airlines","40","40"
"Linea Aeropostal Venezolana","7","4"
"Island Sky Ferry - Air Taxi","2","0"
"Westwing","6","5"
"Bulair TABSO","89","47"
"Far Aviation - Air Taxi / Speeds Flying - Air Taxi","9","2"
"Air France","95","95"
"Military - U.S. Air Force","52","11"
"Pan African Airlines","57","57"
"Kenai Air Service - Air Taxi","3","3"
"Military - U.S. Air Force","13","13"
"Military - U.S. Air Force / Military -  U.S. Army","25","25"
"Catalina - Vega - Air Taxi","4","4"
"Aerovias del Valle","10","10"
"Augusta Aviaiton - Air Taxi","3","2"
"Ceskoslovenske Aerolinie","40","11"
"Military - Turkish Air Force","10","10"
"Cruzeiro","19","19"
"Military - U.S. Air Force","23","23"
"Northeast Airlines","42","32"
"Barrow Air Service - Air Taxi","8","7"
"Japan Air Lines","107","0"
"Cable Commuter","9","9"
"Air America","28","26"
"Stikine Air Service - Air Taxi","5","2"
"Wien Consolidated Airlines","39","39"
"Conquest Airways - Air Taxi","11","3"
"Northwest Moon - Air Taxi","3","3"
"Pan American World Airways","51","51"
"Allegheny Airlines","47","20"
"Interior Airways","4","2"
"Pan American World Airways","3","3"
"Exportada De Sal S.A.","12","12"
"North Central Airlines","45","27"
"Military - U.S. Air Force","12","12"
"Wien Consolidated Airlines","5","1"
"MaRobertson-Miller Airlines","26","26"
"Servicios Aéreos Especiales","26","26"
"China Airlines (Taiwan)","24","24"
"ERA Helicopter","2","2"
"Ariana Afghan Airlines","65","50"
"Allegheny Airlines","28","11"
"China Air Lines","24","24"
"Scandinavian Airlines (SAS)","45","15"
"Air America","12","12"
"United Air Lines","38","38"
"Military - U.S. Air Force","13","13"
"Pudget Sound Air - Air Taxi","10","10"
"Military - U.S. Air Force","14","13"
"Mineral County Airlines","35","35"
"Far Eastern Air Transport","36","36"
"Prinair","19","19"
"Venezolana Internacional de Aviacion","84","84"
"Leamon Flying Service","3","3"
"United Arab Airlines","105","100"
"Avion Airways","27","16"
"Islands of the Bahamas Inc","2","2"
"LOT Polish Airlines","53","53"
"Military - U.S. Army","78","24"
"Air Canada","21","1"
"Military - U.S. Navy","31","31"
"Wigmo","45","45"
"Simpson Air Service - Air Taxi","9","9"
"Indian Airlines","44","44"
"Ghana Airways","33","1"
"Military - U.S. Air Force","18","18"
"Argentina CAA","11","11"
"Military - Argentine Air Force","11","11"
"Military - U.S. Army","74","30"
"Flying W Airways","2","2"
"Union of Burma Airways","6","6"
"Aero Transporti Italiani","36","1"
"Compania Mexicana de Aviacion","79","79"
"Eureka Aero Inc. - Air Taxi","3","3"
"Military - U.S. Air Force","19","19"
"Cascade Airways","2","2"
"Military - Indian Air Force","14","14"
"Air South","14","14"
"Royal Nepal Airlines","35","35"
"Interior Airways - Air Taxi","2","2"
"New York Airways","14","3"
"Safeway Airways","4","4"
"Trans Isle Air","13","1"
"Trans World Airlines","5","5"
"Air Algerie","37","33"
"Halvorson - Air Taxi","3","3"
"Canairelief Air","4","4"
"Prior Aviatoin - Air Taxi","3","3"
"Air America","13","13"
"TAO","1","1"
"Aeroflot","112","16"
"Air France","62","62"
"Aeroflot","8","8"
"Private Charter","3","3"
"Military - Royal Lao Air Force","35","35"
"Military - U.S. Air Force","16","4"
"SATENA","28","28"
"Allegheny Airlines / Forth Corporation","83","83"
"Philippine Air Lines","47","45"
"VASP","21","20"
"PacifiWestern Airlines","15","4"
"Air Vietnam (South Vietnam)","76","74"
"Mexicana","118","27"
"Lloyd Aereo Boliviano","74","74"
"Nordchurchaid","5","5"
"Military - U.S. Navy","26","26"
"Metro Commuter - Air Taxi","5","5"
"Austin Airways","4","2"
"Channel Flying Service - Air Taxi","2","2"
"Aeroflot","9","9"
"Mohawk Airlines","14","14"
"Nigeria Airways","87","87"
"OlympiAirways","90","90"
"Aroostook Air - Air Taxi","3","3"
"Military U.S. Navy","1","0"
"Air Vietnam (South Vietnam)","77","10"
"Air Laos","19","15"
"Galena Air Service - Air Taxi","4","2"
"Spantax","10","5"
"Military - Royal HelleniAir Force","27","23"
"Polynesian Airlines","32","32"
"Faucett","28","28"
"Buckeye Air Service - Air Taxi","2","2"
"Charter -Federal Electricity Commission","19","19"
"Royal Nepal Airlines","23","1"
"Aeroflot","34","34"
"TAG Airlines","9","9"
"Aeroflot","11","11"
"Aerolineas Argentinas","37","37"
"Tarom","22","21"
"Aeroflot","92","92"
"Pilgrim Airlines","5","5"
"Lineas Aéreas La Urraca","12","12"
"Compania Dominicana de Aviacion","102","102"
"Suburban Airlines - Air Taxi","4","4"
"Air Congo","17","17"
"Swissair","47","47"
"Bavaria Flug","11","11"
"Paraense Transportes Aereos","40","38"
"Military - U.S. Navy","31","23"
"Commuter Airline - Air Taxi","11","3"
"Grand Canyon Airlines","6","6"
"Royal Air Maroc","82","61"
"Aeroflot","45","45"
"East Coast Air - Air Taxi","3","3"
"Military - U.S. Air Force","10","10"
"Philippine Air Lines","36","36"
"Military - Italian Air Force","19","19"
"Trans Australia Airlines","11","8"
"Antillian Airlines","63","23"
"Military - U.S. Air Force","14","13"
"Somali Airlines","30","5"
"Philippine Air Lines","33","1"
"Executive Jet Sales Inc.","6","6"
"Aeroflot","11","11"
"Linea Aeropostal Venezolana","6","6"
"Aeroservice S de RL","6","6"
"Lehigh Acres Development Inc.","33","1"
"Ceskoslovenske Aerolinie","13","13"
"Philippine Air Lines","44","1"
"LADE","8","5"
"Reeder Flying Service","27","5"
"Dan Air Services","112","112"
"Air Canada","109","109"
"Military - Soviet Air Force","23","23"
"Del Rio Flying Service - Air Taxi","7","7"
"Flying Tiger Line","4","4"
"Military - Forces Militaires Françaises","37","37"
"Military - United States Navy","10","10"
"Pakistan International Airlines","30","30"
"Lineas Aereas Nacionales SA (Peru)","100","99"
"China Airlines (Taiwan)","31","14"
"Military - U.S. Army","32","30"
"Indian Airlines","39","39"
"Dutch Continental Airways","10","3"
"Aeroflot","37","37"
"Aeroflot","22","22"
"Trans International Airlines","11","11"
"San Juan Air","1","1"
"Eagle Flight - Air Taxi","4","4"
"Icelandair","34","8"
"Air Vietnam (South Vietnam)","38","38"
"Aeroflot","8","8"
"Charter, Golden Eagle Aviation Inc.","40","30"
"Military - U.S. Air Force","43","43"
"Private","2","2"
"National Airways","11","3"
"Saturn Airways","3","3"
"Delaware Aviation - Air Taxi","2","2"
"Aerocosta Colombia","4","2"
"Southern Airways","75","75"
"Military - Vietnamese Air Force / Military - U.S. Army","18","18"
"Capital Airlines","229","47"
"Military - U.S. Air Force","79","79"
"Military - U.S. Air Force","44","42"
"Cargolux","4","4"
"Jamair","16","5"
"Tarom","27","18"
"Aeroflot","25","25"
"Trans Caribbean Airways","55","2"
"Pakistan International Airlines","35","7"
"Rousseau Aviaiton","31","31"
"Aeroflot","93","93"
"United Arab Airlines","16","16"
"American Airlines / Private","21","2"
"Balkan Bulgarian Airlines","47","45"
"L'Armée de L'Air","21","21"
"Fuerza Aérea del Peru","35","35"
"Aeroflot","13","13"
"Aramar","8","8"
"Korean Airlines","60","2"
"Linea Aeropostal Venezolana","48","18"
"Aeroflot","7","7"
"Jamie Ramirez - Air Taxi","3","3"
"TAME","12","12"
"Jamair","15","15"
"Western Airlines","5","5"
"Aeroflot","64","64"
"Military - Philippine Air Force","40","39"
"Monument Valle - Air Taxi","2","2"
"Costal Airway","8","8"
"New England Aviaiton","4","4"
"Apache Airlines - Air Taxi","12","12"
"Aviateca","35","5"
"Gay Airways - Air Taxi","4","2"
"Aviogenex (Yugoslavia)","83","78"
"Military - South African Air Force","11","11"
"Private","6","6"
"Malev Hungarian Airlines","34","32"
"Sudan Airways","42","10"
"Hughes Airwest  / Military - US Marine Air Corps","51","50"
"Allegheny Airlines","31","28"
"Military - U.S. Air Force","24","24"
"SAVCO","6","6"
"Shelter Cove Sea Park","24","17"
"Toa DomestiAirline (Japan)","68","68"
"Anchorage Helicopter - Air Taxi","3","3"
"Air Ivoire","6","6"
"Pan American World Airways","4","4"
"Aeroflot","126","97"
"All Nippon Airways /  Japanese Air Force","164","163"
"Pan American World Airways","218","0"
"Military - French Air Force","39","37"
"Aeroflot","100","100"
"Trans Alaska Helicopter - Air Taxi","2","2"
"Military - U.S. Army","37","37"
"Downeast Airlines","8","3"
"Indian Airlines","31","21"
"Alaska Airlines","111","111"
"Pan International","121","22"
"C and C Aviaiton - Air Taxi","5","5"
"Yemen Airlines","5","5"
"Malev Hungarian Airlines","49","49"
"Cruzeiro","32","32"
"British European Airways","63","63"
"Aeroflot","20","20"
"SceniAir Lines","10","10"
"Alpena Flying Service - Air Taxi","6","6"
"Aerolineas TAO","22","20"
"Chicago Southern Airlines","16","16"
"Military - Vietnamese Air Force","31","31"
"Monmouth Airways","8","4"
"Military - Royal Air Force","52","52"
"Merpati Nusantara Airlines","69","69"
"Aeroflot","47","47"
"China Airlines (Taiwan)","25","25"
"Military - U.S. Army","34","34"
"Aeroflot","57","57"
"Eastern Air Lines","29","2"
"Fuerza Area Angolaise","47","47"
"Balkan Bulgarian Airlines","73","28"
"Lineas Aereas Nacionales SA (Peru)","92","91"
"SAESA","23","23"
"Iberia Airlines","104","104"
"Kime Flying Service - Air Taxi","3","3"
"Turkish Airlines (THY)","8","1"
"Lineas Aéreas la Urraca","20","20"
"SATENA","39","39"
"JAT Yugoslav Airlines","28","27"
"PENAS","9","6"
"Air America","38","1"
"Clarkes Thunder - Air Taxi","2","2"
"TAC Colombia","19","19"
"Royal Air Lao","23","23"
"Hankins Airways - Air Taxi","2","2"
"Military - U.S. Air Force","7","5"
"Sun Valley Airways - Air Taxi","4","4"
"Alii Air Hawaii - Air Taxi","8","8"
"Mohawk Airlines","48","16"
"Military - U.S. Air Force","5","5"
"Sterling Airways","112","112"
"EgyptAir","22","22"
"Military - U.S. Air Force","14","14"
"AVENSA","2","2"
"VASP","25","25"
"Aero Transporti Italiani","18","18"
"Helaire Helicopter","3","3"
"East African Airways","107","43"
"SATCO","6","6"
"Air America","10","4"
"Military - U.S. Air Force","6","6"
"Aeroflot","18","18"
"Alitalia","115","115"
"Aerotechnia","7","7"
"Military - U.S. Army","34","34"
"Ross Aviation - Air Taxi","9","9"
"DTA Angola Airlines","25","22"
"General Air","13","8"
"Petrolium Helicopter","11","11"
"Amazonese Importacao e Exportacao","18","9"
"Delta Air Lines","4","4"
"Fairbanks Air - Air Taxi","2","2"
"Smyer Aircraft - Air Taxi","2","2"
"Military - U.S. Navy","14","14"
"Air America","32","32"
"Aerolineas Flecha Austral","3","3"
"Military - Vietnamese Air Force","47","47"
"Japan Air Lines","87","82"
"Cathay PacifiAirways","81","81"
"Air Central","5","5"
"Military - U.S. Air Force","15","12"
"Aeroflot","122","122"
"British European Airways","118","118"
"Prinair","20","5"
"Seventy Airways - Air Taxi","3","3"
"North Central Airlines / Air Wisconsin","13","13"
"Inter City Flug","8","7"
"Casino Air - Air Taxi","5","2"
"PacifiSouthwest Airlines","86","3"
"Aviaco","10","10"
"Military - U.S. Marine Corps","67","52"
"Military - Royal Norwegian Air Force","19","19"
"Charter","84","1"
"AVIANCA / AVIANCA","38","38"
"Military - U.S. Air Force","44","30"
"Indian Airlines","18","18"
"Interflug","156","156"
"Burma Airways","31","26"
"Lineas Areas Venezolanas","34","34"
"Military - Royal Australian Air Force","29","25"
"Aeroflot","101","101"
"Ansett Airlines of Papua New Guinea","4","4"
"Servicios Aereas Virgen de Copacabana","8","1"
"Ethiopian Airlines","11","11"
"Military - Royal Nepalese Air Force","31","31"
"Private","1","0"
"Air Vietnam (South Vietnam)","13","10"
"Spantax","6","1"
"Cambodia Air","9","9"
"Aeroflot","109","109"
"Flamingo Airlines - Air Taxi","2","2"
"Aeroflot","174","174"
"Uruguayan Air Force - TAMU","45","29"
"Private","4","4"
"OlympiAirways","53","37"
"Air Melanesie","8","1"
"Air Inter","68","60"
"Aero Transporti Italiani","27","27"
"Military - U.S. Army","22","22"
"Balkan Bulgarian Airlines","35","35"
"Metro Air Systems","11","11"
"Japan Air Lines","76","62"
"Luthi Aviation - Air Taxi","2","2"
"Spantax","155","155"
