"Operator","Aboard","Fatalities"
"Military -Royal Air Force","15","15"
"Military - South African Air Force","28","28"
"Eastern Air Lines / Military - U.S. Army Air Corps","10","3"
"Military - U.S. Army Air Forces","3","3"
"Lineas Aereas Mineras","12","12"
"Pan American World Airways","14","4"
"Mexicana","16","16"
"Eastern Air Lines","22","22"
"Military - Royal Australian Air Force","11","11"
"Military - U.S. Army Air Forces","24","23"
"Military - Royal Australian Air Force","29","29"
"Military - United States Army Air Force","20","20"
"National Airlines","15","2"
"Military -Royal Air Force","23","23"
"Military - Royal Air Force","26","26"
"Military -Royal Air Force","31","31"
"Military - U.S. Army Air Forces","59","59"
"Military - Royal Australian Air Force","25","25"
"China National Aviation Corporation","31","31"
"Military - Royal Air Force","14","14"
"Faucett","5","5"
"Military - U.S. Army Air Forces","50","45"
"Military - U.S. Army Air Forces","30","26"
"Military - U.S. Army Air Forces","44","44"
"Military - U.S. Navy / Military - U.S. Navy","27","22"
"Military - U.S. Army Air Forces","24","24"
"Military - U.S. Army Air Forces","20","20"
"Military -Royal Air Force","29","29"
"Military - U.S. Army","44","44"
"Military - Royal Australian Air Force","28","28"
"Military -Royal Air Force","27","27"
"Military -Royal Air Force","28","28"
"Military - U.S. Navy","14","14"
"Military - U.S. Army","21","17"
"Military - Royal Air Force","17","15"
"Air France","8","8"
"Eastern Air Lines","12","1"
"Pennsylvania Central Airlines","11","3"
"Military - Chinese Air Force","18","18"
"Military -Royal Air Force","25","23"
"Eastern Air Lines","17","17"
"Mililtary - Royal Canadian Air Force","7","7"
"Military - Royal Air Force","11","11"
"United Air Lines","21","21"
"Military - U.S. Army Air Forces","20","20"
"British Overseas Airways","14","1"
"American Airlines","27","27"
"Ceskoslovenske Aerolinie","14","10"
"Australian National Airways","25","25"
"Military - Chinese Air Force","20","20"
"China National Aviation Corporation","",""
"Military - U.S. Army Air Forces","26","26"
"British Overseas Airways /Qantas","10","10"
"Military - Royal British Navy","4","4"
"","14","14"
"TACA","21","19"
"Military - Royal Air Force","12","12"
"Military U.S. Navy / Military - U.S. Navy","28","28"
"Viking Air Transport","27","27"
"DNL","13","13"
"Military - U.S. Army Air Forces","38","30"
"Military -Royal Air Force","18","18"
"Military - U.S. Army Air Forces","23","23"
"Military - Royal Air Force","18","18"
"Air France","3","2"
"Military - U.S. Army Air Forces","25","25"
"Trans Continental and Western Air","6","5"
"Central Air Transport","49","13"
"ANDESA","30","30"
"Military - U.S. Army Air Corps","13","13"
"Military -  (2) U.S. Army Air Forces","20","20"
"Military -Royal Air Force","22","22"
"British European Airways","16","3"
"AtlantiCentral Airlines","6","4"
"BOAC","5","1"
"British Overseas Airways","9","8"
"Trans Luxury Airlines","25","2"
"Misrair","9","6"
"Air France","22","22"
"Air France","26","20"
"Trans-Luxury Airlines","22","21"
"British South American Airways","24","24"
"Mt. McKinley Airfreight","4","4"
"Military - Royal Canadian Air Force","21","21"
"Sabena","7","1"
"AVIANCA","17","17"
"Sabena","44","27"
"Military -Royal Air Force","25","25"
"China National Aviation Corporation","31","31"
"Military - Royal Air Force","19","19"
"Panair do Brasil","25","25"
"American Overseas Airlines","39","39"
"Military -Royal Air Force","21","21"
"Military - Royal Netherlands Naval Air Service","1","1"
"United Air Lines","41","2"
"Air Ocean","16","16"
"National Air Transport Services","13","13"
"Military - Royal Air Force","11","11"
"Socotra","24","1"
"CTA LanguedoRoussillon","27","23"
"United Air Lines","20","2"
"Western Airlines","11","11"
"Empressa Commun. Aéreas de Veracruz","15","15"
"KLM Royal Dutch Airlines","26","26"
"Military - U.S. Army Air Forces","23","23"
"Lineas Aéreas Costarricenses  LACSA","22","22"
"Fuerza Aérea Argentina","18","5"
"Aeroflot","24","24"
"Military - U.S. Marine Corps","32","32"
"Military - U.S. Army Air Forces","24","24"
"Far Eastern Air Transport","14","12"
"Winged Cargo Inc.","7","7"
"FAMA (Argentina)","21","21"
